code,name,professor,credits,classroom,capacity,day,start_time,end_time,department
07251002,데이터통신,박기성,3,제3생활관-B130,60,2,16:00,17:50,컴퓨터공학부(스마트보안전공)/스마트보안학과2
07251002,데이터통신,박기성,3,제3생활관-B130,60,3,17:00,17:50,컴퓨터공학부(스마트보안전공)/스마트보안학과2
08306002,운영체제,이석준,3,AI관-509,60,0,13:00,14:50,컴퓨터공학부(스마트보안전공)/스마트보안학과2
08306002,운영체제,이석준,3,AI관-509,60,1,13:00,13:50,컴퓨터공학부(스마트보안전공)/스마트보안학과2
09571001,컴퓨터구조,김태규,3,제3생활관-B130,65,0,10:00,10:50,컴퓨터공학부(스마트보안전공)/스마트보안학과1
09571001,컴퓨터구조,김태규,3,제3생활관-B130,65,1,09:00,10:50,컴퓨터공학부(스마트보안전공)/스마트보안학과1
14515001,블록체인,박기성,3,제3생활관-B130,60,2,13:00,14:50,컴퓨터공학부(스마트보안전공)/스마트보안학과2
14515001,블록체인,박기성,3,제3생활관-B130,60,3,14:00,14:50,컴퓨터공학부(스마트보안전공)/스마트보안학과2
14516001,악성코드,김의탁,3,AI관-509,60,1,14:00,16:50,컴퓨터공학부(스마트보안전공)/스마트보안학과2
14517001,데이터처리프로그래밍,박기성,3,제3생활관-B130,60,2,15:00,15:50,컴퓨터공학부(스마트보안전공)/스마트보안학과2
14517001,데이터처리프로그래밍,박기성,3,제3생활관-B130,60,3,15:00,16:50,컴퓨터공학부(스마트보안전공)/스마트보안학과2
14518001,사이버테러대응기술,전승호,3,AI관-509,60,3,13:00,13:50,컴퓨터공학부(스마트보안전공)/스마트보안학과2
14518001,사이버테러대응기술,전승호,3,AI관-509,60,4,13:00,14:50,컴퓨터공학부(스마트보안전공)/스마트보안학과2
15922001,인공지능수학,오현영,3,제3생활관-B130,60,0,16:00,16:50,컴퓨터공학부(스마트보안전공)/스마트보안학과1
15922001,인공지능수학,오현영,3,제3생활관-B130,60,1,13:00,14:50,컴퓨터공학부(스마트보안전공)/스마트보안학과1
60000043,P-실무프로젝트 (4주/학과프로젝트)(AI),이태진,3,"AI관-414,AI관-208,제3생활관-B130",30,0,09:00,11:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
60000043,P-실무프로젝트 (4주/학과프로젝트)(AI),이태진,3,"AI관-414,AI관-208,제3생활관-B130",30,1,09:00,11:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
60000043,P-실무프로젝트 (4주/학과프로젝트)(AI),이태진,3,"AI관-414,AI관-208,제3생활관-B130",30,2,09:00,11:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
60000043,P-실무프로젝트 (4주/학과프로젝트)(AI),이태진,3,"AI관-414,AI관-208,제3생활관-B130",30,3,09:00,11:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
60000043,P-실무프로젝트 (4주/학과프로젝트)(AI),이태진,3,"AI관-414,AI관-208,제3생활관-B130",30,4,09:00,11:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
60000095,P-실무프로젝트 (4주/학과프로젝트),이석준,3,AI관-509,30,0,09:00,11:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
60000095,P-실무프로젝트 (4주/학과프로젝트),이석준,3,AI관-509,30,1,09:00,11:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
60000095,P-실무프로젝트 (4주/학과프로젝트),이석준,3,AI관-509,30,2,09:00,11:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
60000095,P-실무프로젝트 (4주/학과프로젝트),이석준,3,AI관-509,30,3,09:00,11:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
60000095,P-실무프로젝트 (4주/학과프로젝트),이석준,3,AI관-509,30,4,09:00,11:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
61386001,인공지능융합보안 (12주),이태진,3,AI관-509,60,0,10:00,11:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
61386001,인공지능융합보안 (12주),이태진,3,AI관-509,60,2,10:00,11:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
14519001,차세대인프라보안,최동준,3,AI관-509,60,0,15:00,16:50,인터랙티브미디어학과/스마트보안학과/컴퓨터공학부(스마트보안전공)4/컴퓨터미디어융합학과
14519001,차세대인프라보안,최동준,3,AI관-509,60,2,15:00,15:50,인터랙티브미디어학과/스마트보안학과/컴퓨터공학부(스마트보안전공)4/컴퓨터미디어융합학과
61433001,디지털포렌식 (12주),오상기,3,AI관-509,60,4,15:00,18:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
61434001,임베디드시스템보안 (12주),전승호,3,AI관-509,60,2,16:00,17:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
61434001,임베디드시스템보안 (12주),전승호,3,AI관-509,60,3,16:00,17:50,컴퓨터공학부(스마트보안전공)3/인터랙티브미디어학과/스마트보안학과/컴퓨터미디어융합학과
